index,subsequence_idx,score,start_date,end_date
16,16,2.6759397941884293,2023-06-29,2023-07-03
17,17,2.5058536475990323,2023-06-30,2023-07-05
32,32,2.4789280003211513,2023-07-21,2023-07-25
68,68,2.0734231640876315,2023-02-09,2023-02-13
74,74,3.400770067634113,2023-09-14,2023-09-18
128,128,3.0593540252074596,2023-11-21,2023-11-24
129,129,4.360729476203654,2023-11-22,2023-11-27
130,130,3.2732108021424056,2023-11-24,2023-11-28
144,144,2.3461263872564806,2023-12-13,2023-12-15
145,145,2.2823936429770124,2023-12-14,2023-12-18
147,147,3.066657599352406,2023-12-15,2023-12-19
200,200,2.525663055169278,2024-02-28,2024-03-01
243,243,2.161545976256909,2024-04-23,2024-04-25
244,244,4.003803919939801,2024-04-24,2024-04-26
273,273,2.2478291798195777,2024-05-31,2024-06-04
287,287,2.403485050918606,2024-06-20,2024-06-24
288,288,2.3613043196477945,2024-06-21,2024-06-25
311,311,2.0865097837928164,2024-07-23,2024-07-25
323,323,2.054593055417065,2023-03-15,2023-03-17
346,346,2.24968300732398,2023-03-17,2023-03-21
359,359,3.044159072429671,2024-09-20,2024-09-24
429,429,4.424503408659674,2024-12-20,2024-12-24
430,430,7.193063719546189,2024-12-23,2024-12-26
431,431,7.375889701236693,2024-12-24,2024-12-27
432,432,3.692510158186977,2024-12-26,2024-12-30
453,453,2.5167616302430433,2025-01-24,2025-01-28
495,495,3.268862392668868,2025-03-20,2025-03-24
542,542,2.935216996316177,2023-06-06,2023-06-08
