index,subsequence_idx,score,start_date,end_date
16,16,1.7565787181891708,2023-06-29,2023-07-03
17,17,1.3849464077051041,2023-06-30,2023-07-05
43,43,1.7079349731051907,2023-08-04,2023-08-08
44,44,1.9170861800821597,2023-08-07,2023-08-09
129,129,1.7042905240232031,2023-11-22,2023-11-27
130,130,1.4531425498543669,2023-11-24,2023-11-28
150,150,1.3395150978195758,2023-12-20,2023-12-22
151,151,1.9038338288519134,2023-12-21,2023-12-26
178,178,1.4782808560935359,2024-01-30,2024-02-01
211,211,3.2077049258069383,2024-03-13,2024-03-15
213,213,3.9008821598572445,2024-03-14,2024-03-18
214,214,4.044851549854908,2024-03-15,2024-03-19
295,295,2.3762646960964493,2024-07-01,2024-07-03
296,296,1.418164442558867,2024-07-02,2024-07-05
356,356,10.163279226722192,2024-09-18,2024-09-20
358,358,10.29613104597154,2024-09-19,2024-09-23
359,359,11.030268777988862,2024-09-20,2024-09-24
429,429,1.8270174472828995,2024-12-20,2024-12-24
430,430,2.804448781834102,2024-12-23,2024-12-26
443,443,1.804780405429607,2025-01-13,2025-01-15
469,469,1.3424740623455993,2025-02-13,2025-02-18
470,470,1.3134679015620467,2025-02-14,2025-02-19
494,494,1.8447754019286895,2025-03-19,2025-03-21
495,495,1.6599962691073302,2025-03-20,2025-03-24
496,496,1.524250445530252,2025-03-21,2025-03-25
507,507,2.043395458202753,2023-04-20,2023-04-24
508,508,1.9281300172002918,2023-04-21,2023-04-25
545,545,1.3462849613370493,2023-06-09,2023-06-13
