index,subsequence_idx,score,start_date,end_date
13,13,2.067753215021729,2023-02-06,2023-02-08
14,14,9.535202193956717,2023-02-07,2023-02-09
15,15,8.925237340740733,2023-02-08,2023-02-10
16,16,7.697680792357326,2023-02-09,2023-02-13
39,39,4.80523076029735,2023-03-15,2023-03-17
40,40,4.916396436462514,2023-03-16,2023-03-20
41,41,3.10375551321413,2023-03-17,2023-03-21
165,165,2.2961546167084483,2023-09-14,2023-09-18
260,260,2.939521200196485,2024-01-31,2024-02-02
357,357,2.0091130878823735,2024-06-20,2024-06-24
420,420,2.5483595660803267,2024-09-19,2024-09-23
453,453,2.295991573305545,2024-11-05,2024-11-07
485,485,4.727887012323323,2024-12-20,2024-12-24
486,486,3.704758180407419,2024-12-23,2024-12-26
487,487,3.2103789206253808,2024-12-24,2024-12-27
