sp500_anomaly_index,start_date,end_date,total_constituents,anomalous_constituents,anomaly_percentage
0,2023-11-22T00:00:00,2023-11-27T00:00:00,31,31,100.0
1,2023-11-24T00:00:00,2023-11-28T00:00:00,31,31,100.0
2,2023-12-12T00:00:00,2023-12-14T00:00:00,31,31,100.0
3,2023-12-13T00:00:00,2023-12-15T00:00:00,31,31,100.0
4,2023-03-09T00:00:00,2023-03-13T00:00:00,31,31,100.0
5,2024-06-20T00:00:00,2024-06-24T00:00:00,31,31,100.0
6,2024-08-29T00:00:00,2024-09-03T00:00:00,31,31,100.0
7,2024-09-18T00:00:00,2024-09-20T00:00:00,31,31,100.0
8,2024-11-04T00:00:00,2024-11-06T00:00:00,31,31,100.0
9,2024-11-05T00:00:00,2024-11-07T00:00:00,31,31,100.0
10,2024-12-18T00:00:00,2024-12-20T00:00:00,31,31,100.0
11,2024-12-20T00:00:00,2024-12-24T00:00:00,31,31,100.0
